node1,node2,correct_label,work_label
347,349,0,1
347,349,0,1
347,349,0,1
347,349,0,1
347,349,0,1
347,348,1,1
347,348,1,1
347,348,1,0
347,348,1,1
347,348,1,1
347,350,0,1
347,350,0,1
347,350,0,1
347,350,0,1
347,350,0,1
553,624,0,1
553,624,0,1
553,624,0,1
553,624,0,1
553,624,0,1
806,849,0,0
806,849,0,0
806,849,0,0
806,849,0,0
806,849,0,0
806,850,0,0
806,850,0,0
806,850,0,0
806,850,0,0
806,850,0,0
694,697,1,1
694,697,1,1
694,697,1,1
694,697,1,1
694,697,1,1
806,851,0,0
806,851,0,0
806,851,0,0
806,851,0,0
806,851,0,0
694,696,1,1
694,696,1,1
694,696,1,0
694,696,1,1
694,696,1,1
806,852,0,0
806,852,0,0
806,852,0,0
806,852,0,0
806,852,0,0
806,853,0,0
806,853,0,0
806,853,0,0
806,853,0,0
806,853,0,0
806,854,0,0
806,854,0,0
806,854,0,0
806,854,0,0
806,854,0,0
806,855,0,0
806,855,0,0
806,855,0,0
806,855,0,0
806,855,0,0
806,856,0,0
806,856,0,0
806,856,0,0
806,856,0,0
806,856,0,0
806,857,0,0
806,857,0,0
806,857,0,0
806,857,0,0
806,857,0,0
806,858,0,0
806,858,0,0
806,858,0,0
806,858,0,0
806,858,0,0
806,859,0,0
806,859,0,0
806,859,0,0
806,859,0,0
806,859,0,0
694,695,1,1
694,695,1,1
694,695,1,1
694,695,1,1
694,695,1,0
806,860,0,0
806,860,0,0
806,860,0,0
806,860,0,0
806,860,0,0
806,861,0,0
806,861,0,0
806,861,0,0
806,861,0,0
806,861,0,0
806,862,0,0
806,862,0,0
806,862,0,0
806,862,0,0
806,862,0,0
806,863,0,0
806,863,0,0
806,863,0,0
806,863,0,0
806,863,0,0
806,833,0,0
806,833,0,0
806,833,0,0
806,833,0,0
806,833,0,0
806,832,0,0
806,832,0,0
806,832,0,0
806,832,0,0
806,832,0,0
806,835,0,0
806,835,0,0
806,835,0,0
806,835,0,0
806,835,0,0
806,834,0,0
806,834,0,0
806,834,0,0
806,834,0,0
806,834,0,0
806,837,0,0
806,837,0,0
806,837,0,0
806,837,0,0
806,837,0,0
806,836,0,0
806,836,0,0
806,836,0,0
806,836,0,0
806,836,0,0
806,839,0,0
806,839,0,0
806,839,0,0
806,839,0,0
806,839,0,0
806,838,0,0
806,838,0,0
806,838,0,0
806,838,0,0
806,838,0,0
806,841,0,0
806,841,0,0
806,841,0,0
806,841,0,0
806,841,0,0
806,840,0,0
806,840,0,0
806,840,0,0
806,840,0,0
806,840,0,0
806,843,0,0
806,843,0,0
806,843,0,0
806,843,0,0
806,843,0,0
806,842,0,0
806,842,0,0
806,842,0,0
806,842,0,0
806,842,0,0
806,845,0,0
806,845,0,0
806,845,0,0
806,845,0,0
806,845,0,0
806,844,0,0
806,844,0,0
806,844,0,0
806,844,0,0
806,844,0,0
806,847,0,0
806,847,0,0
806,847,0,0
806,847,0,0
806,847,0,0
806,846,0,0
806,846,0,0
806,846,0,0
806,846,0,0
806,846,0,0
694,720,0,0
694,720,0,0
694,720,0,0
694,720,0,0
694,720,0,0
806,827,0,0
806,827,0,0
806,827,0,0
806,827,0,0
806,827,0,0
806,830,0,0
806,830,0,0
806,830,0,0
806,830,0,0
806,830,0,0
806,831,0,0
806,831,0,0
806,831,0,0
806,831,0,0
806,831,0,0
806,828,0,0
806,828,0,0
806,828,0,0
806,828,0,0
806,828,0,0
806,829,0,0
806,829,0,0
806,829,0,0
806,829,0,0
806,829,0,0
694,716,0,0
694,716,0,0
694,716,0,0
694,716,0,0
694,716,0,0
694,717,0,0
694,717,0,0
694,717,0,0
694,717,0,0
694,717,0,0
694,718,0,0
694,718,0,0
694,718,0,0
694,718,0,0
694,718,0,0
694,719,0,0
694,719,0,0
694,719,0,0
694,719,0,0
694,719,0,0
806,811,0,0
806,811,0,0
806,811,0,0
806,811,0,0
806,811,0,0
806,810,0,0
806,810,0,0
806,810,0,0
806,810,0,0
806,810,0,0
806,809,0,0
806,809,0,0
806,809,0,0
806,809,0,0
806,809,0,0
806,812,0,0
806,812,0,0
806,812,0,0
806,812,0,0
806,812,0,0
604,612,1,1
604,612,1,0
604,612,1,0
604,612,1,1
604,612,1,1
604,613,1,1
604,613,1,1
604,613,1,1
604,613,1,1
604,613,1,1
604,614,1,1
604,614,1,1
604,614,1,1
604,614,1,1
604,614,1,1
604,615,1,0
604,615,1,1
604,615,1,0
604,615,1,1
604,615,1,0
604,608,1,1
604,608,1,1
604,608,1,1
604,608,1,0
604,608,1,1
604,609,1,1
604,609,1,0
604,609,1,1
604,609,1,1
604,609,1,1
604,610,1,1
604,610,1,1
604,610,1,1
604,610,1,1
604,610,1,0
604,611,1,1
604,611,1,1
604,611,1,0
604,611,1,1
604,611,1,1
604,620,1,1
604,620,1,1
604,620,1,0
604,620,1,0
604,620,1,1
604,616,1,0
604,616,1,1
604,616,1,0
604,616,1,0
604,616,1,0
604,617,1,0
604,617,1,1
604,617,1,1
604,617,1,1
604,617,1,1
604,618,1,1
604,618,1,1
604,618,1,1
604,618,1,1
604,618,1,1
604,619,1,1
604,619,1,1
604,619,1,1
604,619,1,0
604,619,1,1
604,607,1,1
604,607,1,1
604,607,1,1
604,607,1,1
604,607,1,1
604,606,1,1
604,606,1,0
604,606,1,1
604,606,1,1
604,606,1,1
604,605,1,1
604,605,1,1
604,605,1,1
604,605,1,1
604,605,1,1
141,289,0,0
141,289,0,1
141,289,0,1
141,289,0,1
141,289,0,1
141,296,0,0
141,296,0,0
141,296,0,0
141,296,0,0
141,296,0,0
694,864,0,0
694,864,0,0
694,864,0,0
694,864,0,0
694,864,0,0
141,297,0,1
141,297,0,0
141,297,0,0
141,297,0,1
141,297,0,0
141,277,0,0
141,277,0,0
141,277,0,1
141,277,0,0
141,277,0,0
141,276,0,1
141,276,0,0
141,276,0,1
141,276,0,0
141,276,0,1
141,279,0,1
141,279,0,0
141,279,0,0
141,279,0,0
141,279,0,0
141,278,0,1
141,278,0,0
141,278,0,1
141,278,0,1
141,278,0,1
141,273,0,1
141,273,0,1
141,273,0,1
141,273,0,0
141,273,0,1
141,272,0,1
141,272,0,1
141,272,0,1
141,272,0,1
141,272,0,1
141,275,0,1
141,275,0,1
141,275,0,0
141,275,0,0
141,275,0,0
141,274,0,1
141,274,0,0
141,274,0,0
141,274,0,1
141,274,0,0
141,285,0,1
141,285,0,1
141,285,0,1
141,285,0,0
141,285,0,1
141,286,0,1
141,286,0,0
141,286,0,0
141,286,0,0
141,286,0,1
141,281,0,1
141,281,0,1
141,281,0,0
141,281,0,0
141,281,0,1
141,280,0,1
141,280,0,1
141,280,0,1
141,280,0,1
141,280,0,0
141,283,0,1
141,283,0,0
141,283,0,1
141,283,0,1
141,283,0,1
141,282,0,0
141,282,0,1
141,282,0,0
141,282,0,1
141,282,0,0
7,9,1,0
7,9,1,1
7,9,1,0
7,9,1,1
7,9,1,1
7,8,1,0
7,8,1,1
7,8,1,1
7,8,1,1
7,8,1,1
694,952,0,0
694,952,0,0
694,952,0,0
694,952,0,0
694,952,0,0
694,954,0,0
694,954,0,0
694,954,0,0
694,954,0,1
694,954,0,0
694,947,0,0
694,947,0,0
694,947,0,0
694,947,0,0
694,947,0,0
694,946,0,0
694,946,0,0
694,946,0,0
694,946,0,0
694,946,0,0
694,949,0,0
694,949,0,0
694,949,0,0
694,949,0,0
694,949,0,0
694,948,0,0
694,948,0,0
694,948,0,0
694,948,0,0
694,948,0,0
694,979,0,0
694,979,0,0
694,979,0,0
694,979,0,0
694,979,0,0
694,980,0,0
694,980,0,0
694,980,0,0
694,980,0,0
694,980,0,0
141,173,0,0
141,173,0,1
141,173,0,0
141,173,0,1
141,173,0,1
141,172,0,1
141,172,0,0
141,172,0,1
141,172,0,1
141,172,0,1
141,175,0,1
141,175,0,1
141,175,0,0
141,175,0,0
141,175,0,1
141,174,0,1
141,174,0,0
141,174,0,1
141,174,0,1
141,174,0,1
141,169,1,0
141,169,1,1
141,169,1,0
141,169,1,0
141,169,1,0
141,168,1,1
141,168,1,1
141,168,1,1
141,168,1,1
141,168,1,1
141,171,0,1
141,171,0,0
141,171,0,1
141,171,0,1
141,171,0,1
141,170,0,1
141,170,0,0
141,170,0,0
141,170,0,1
141,170,0,1
141,165,1,1
141,165,1,0
141,165,1,1
141,165,1,1
141,165,1,1
141,164,1,1
141,164,1,1
141,164,1,1
141,164,1,1
141,164,1,1
141,167,1,1
141,167,1,1
141,167,1,0
141,167,1,1
141,167,1,1
141,166,1,1
141,166,1,1
141,166,1,1
141,166,1,1
141,166,1,1
141,161,1,1
141,161,1,1
141,161,1,1
141,161,1,0
141,161,1,1
141,160,1,1
141,160,1,1
141,160,1,1
141,160,1,1
141,160,1,1
141,163,1,1
141,163,1,1
141,163,1,1
141,163,1,1
141,163,1,1
141,162,1,1
141,162,1,1
141,162,1,1
141,162,1,1
141,162,1,1
141,156,1,1
141,156,1,1
141,156,1,1
141,156,1,1
141,156,1,1
141,157,1,1
141,157,1,0
141,157,1,1
141,157,1,1
141,157,1,1
141,158,1,1
141,158,1,1
141,158,1,1
141,158,1,1
141,158,1,1
141,159,1,1
141,159,1,1
141,159,1,0
141,159,1,1
141,159,1,1
141,152,1,1
141,152,1,1
141,152,1,1
141,152,1,1
141,152,1,1
141,153,1,1
141,153,1,1
141,153,1,1
141,153,1,1
141,153,1,1
141,154,1,1
141,154,1,1
141,154,1,1
141,154,1,1
141,154,1,1
141,155,1,1
